Location,Locality,Property ID,Plot Size,Property Differentiator,Valuation Date,Valuation Method,Valuation
Bokaa,0,2177/2957,1108,"No garage, 1 bathroom",41359,DRC,450000.00 
Francistown,Mine stone,2136/1399,651,"1 batroom, servant squater",38419,DRC,205000.00 
Francistown,Tati river south,2133,794,,38590,Residual,745000.00 
Gaborone,Commerce park,2140/93,417,,38361,DRC,780000.00 
Gaborone,Block 6,2131/37872,600,"servant squarter, car port,no garage",38391,DRC,375000.00 
Gaborone,Phase 4,2215/23799,700,"1 bathroom, no garage,s/quarter",38482,Cost,245000.00 
Gaborone,BBS Mall,2147/21929,840,two storey  building with reception and ofices,38510,DRC,2250000.00 
Gaborone,block 3,2237/27423,405,,38546,DRC,95000.00 
Gaborone,Block 5,2132,781,"servant squarter, car port,no garage",38559,DRC,365000.00 
Gaborone,Phase 4,2157/22479,450,no garage,38578,DRC,350000.00 
Gaborone,Ex 14 Bontleng,2139/4368,594,,38581,DRC,370000.00 
Gaborone,Block 3,2142/28346,405,,38588,DRC,70000.00 
Gaborone,Ext 12,2152/3320,526,"1 bathroom, s/quarter",38594,DRC,400000.00 
Gaborone,Phase1,2160/16805,789,"2bathrooms, s/quarter",38615,DRC,690000.00 
Gaborone,Ext 19,2207/6256,560,"1 bathroom, no garage",38616,DRC,160000.00 
Gaborone,Ext 25,2164/7964,881,no garage,38618,DRC,520000.00 
Gaborone,mogoditshane,2243/689,1200,,38629,Cost,570000.00 
Gaborone,Block 6,2211/39446,413,"2 bathrooms,no garage",38638,DRC,230000.00 
Gaborone,Broadhurst,2201/6861,702,"1 bathroom,no garage,s/quarter",38646,DRC,240000.00 
Gaborone,block 6,2185/39590,428,1 bathroom,38648,DRC,280000.00 
Gaborone,Tlokweng,2202/1389,1186,,38649, Cost,300000.00 
Gaborone,mogoditshane,2226/7730,1591,,38650,DRC,1300000.00 
Gaborone,phakalane,2200/53651,1220,"s/quarter, swimming pool",38651,DRC,1260000.00 
Gaborone,phakalane,2191/33257,621,,38652,DRC,900000.00 
Gaborone,Tlokweng,2203/4709,714,,38652,DRC,270000.00 
Gaborone,Block 8,2208/33737,408,,38660,DRC,120000.00 
Gaborone,block3,2222/28121,405,,38661,DRC,220000.00 
Gaborone,mogoditshane,2225/3255,1353,,38661,investment,140000.00 
Gaborone,phakalane,2200/32223,612,"s/quarter, swimming pool",38661,DRC,1100000.00 
Gaborone,Block 8,2195/37129,607,,38663,DRC,400000.00 
