LocalityId,LocationId,LocalityName
1,27,Block 2
2,27,Block 3
3,27,Block 4
4,27,Block 5
5,27,Block 6
6,27,Block 7
7,27,Block 8
8,27,Block 9
9,27,Block 10
10,27,Donga North
11,27,Dumelang Industrial
12,27,Francistown Cental
13,27,Gerald Block 5 North
14,27,Gerald Block 5 South
15,27,Gerald Block 6 North
16,27,Gerald Block 6 South
17,27,Gerald Industrial North
18,27,Monarch North
19,27,Monarch South
20,27,Ntshe River Plots
21,27,Satelite
22,27,Selepa & Tati River Plots
23,27,Somrest
24,27,Tati River Plots North
25,27,Garden View
26,38,Unit 1
27,38,Unit 2
28,38,Unit 3
29,38,Unit 4
30,38,Unit 5
31,38,Unit 6
32,38,Unit 7
33,38,Unit 8
34,38,Unit 9
35,38,Unit 10
36,38,Unit 11
37,38,Industrial Zone
38,89,BCL Plots
39,89,Botshabelo
40,89,Distance
41,89,Orlando
42,89,Tshabantsha
43,89,New Stance
44,89,Phase 1
45,89,Phase 2
46,89,Phase 3
47,89,Phase 4
48,89,Town Centre Selibe Phikwe
49,91,Kasane Botshabelo
50,91,China Town
51,91,New Town
52,91,Plateau
53,91,Kgaphamadi
54,91,River Front
55,91,Pimville
56,91,Kgaphamadi Industrial
57,33,Gaborone North
58,33,Phakalane
59,33,Phakalane Golf Estate
60,33,Sebele Valley
61,33,Tsholofelo West
62,33,Tsholofelo East
63,33,Tsholofelo
64,33,Ledumang
65,33,Tshweneng
66,33,Phiring
67,33,Tapologo
68,33,Tawana
69,33,Taung
70,33,Broadhurst
71,33,Ginger
72,33,Maruapula
73,33,Partial
74,33,Tshimotharo
75,33,Extension 16
76,33,Extension 20
77,33,Extension 27
78,33,Extension 9
79,33,Extension 10
80,33,Extension 11
81,33,Extension 12
82,33,Extension 14
83,33,Extension 4
84,33,Extension 5
85,33,Extension 2
86,33,Extension 43
87,33,Extension 44
88,33,Village
89,33,Bontleng
90,33,White City
91,33,Old Naledi
92,33,New Naledi
93,33,Kgale
94,33,Phase 2
95,33,Phase 4
96,33,Gaborone West
97,33,Block 3
98,33,Block 5
99,33,Block 6
100,33,Block 7
101,33,Block 8
102,33,Block 9
103,33,Block 10
104,33,Notwane
105,33,Block 3 Industrial
106,33,Broadhurst Industrial
107,33,Gaborone West Industrial
108,33,Fairgrounds
109,33,Commerce Park
110,33,BBS Mall
111,33,Finance Park
112,33,Extension 19
