DistrictId,LocationId,LocalityId,Metric,Rate,Unknown1,Unknown2,Zoning,AveragePrice,LowIncome,MiddleIncome,HighIncome
2,33,57,,,,,Residential,,500,600,600
2,33,58,,,,,Residential,,900,1000,1200
2,33,59,,,,,Residential,,1800,2000,2000
2,33,60,,,,,Industrial,,,,
2,33,61,,,,,Residential,,1000,1000,1000
2,33,62,,,,,Residential,,1000,1000,1000
2,33,63,,,,,Residential,,600,700,700
2,33,64,,,,,Residential,,700,750,800
2,33,65,,,,,Residential,,700,750,850
2,33,67,,,,,Residential,,700,750,850
2,33,68,,,,,Residential,,700,750,850
2,33,69,,,,,Residential,,700,750,850
2,33,70,,,,,Residential,,900,900,900
2,33,71,,,,,Residential,,700,700,700
2,33,72,,,,,Residential,,600,800,900
2,33,73,,,,,Residential,,750,850,900
2,33,74,,,,,Residential,,600,800,1000
2,33,75,,,,,Residential,,400,500,550
2,33,76,,,,,Residential,,600,600,600
2,33,77,,,,,Residential,,600,600,1000
2,33,78,,,,,Residential,,1800,2000,2000
2,33,79,,,,,Residential,,900,900,900
2,33,80,,,,,Residential,,1800,1800,1800
2,33,81,,,,,Residential,,900,900,900
2,33,82,,,,,Residential,,600,700,750
2,33,83,,,,,Residential,,800,900,900
2,33,84,,,,,Residential,,1000,1000,1000
2,33,85,,,,,Residential,,850,850,900
2,33,86,,,,,Residential,,1000,1000,1000
2,33,87,,,,,Residential,,1000,100,100
2,33,88,,,,,Residential,,600,700,700
2,33,89,,,,,Residential,,450,450,450
2,33,90,,,,,Residential,,400,400,400
2,33,91,,,,,Residential,,400,400,400
2,33,92,,,,,Residential,,800,900,900
2,33,94,,,,,Residential,,2000,2000,2000
2,33,95,,,,,Residential,,900,900,900
2,33,96,,,,,Residential,,950,950,950
2,33,97,,,,,Residential,,700,700,700
2,33,98,,,,,Residential,,800,900,1000
2,33,99,,,,,Residential,,800,900,900
2,33,100,,,,,Residential,,800,900,900
2,33,101,,,,,Residential,,800,900,900
2,33,102,,,,,Residential,,800,900,1000
2,33,103,,,,,Residential,,800,900,900
2,33,104,,,,,Residential,,1000,1000,1000
2,33,105,,,,,Residential,,1000,1500,1500
2,33,106,,,,,Residential,,1200,1200,1200
2,33,107,,,,,Industrial,,,,
2,33,108,,,,,Industrial,,,,
2,33,109,,,,,Industrial,,,,
2,33,110,,,,,Industrial,,,,
6,27,1,,,,,Residential,,250,250,280
6,27,2,,,,,Residential,,250,250,280
6,27,3,,,,,Residential,,250,250,280
6,27,4,,,,,Residential,,250,250,280
6,27,5,,,,,Residential,,250,250,280
6,27,6,,,,,Residential,,250,250,280
6,27,7,,,,,Residential,,250,250,280
6,27,8,,,,,Residential,,250,250,280
6,27,9,,,,,Residential,,250,250,280
6,27,10,,,,,Residential,,250,250,250
6,27,11,,,,,Industrial,,,,
6,27,12,,,,,Residential,,450,500,550
6,27,13,,,,,Residential,,230,250,260
6,27,14,,,,,Residential,,230,250,260
6,27,15,,,,,Residential,,230,250,260
6,27,16,,,,,Residential,,230,250,260
6,27,17,,,,,Residential,,,,
6,27,18,,,,,Residential,,230,250,260
6,27,19,,,,,Residential,,230,250,260
6,27,20,,,,,Residential,,230,250,260
6,27,21,,,,,Residential,,250,250,250
6,27,22,,,,,Residential,,250,250,250
6,27,23,,,,,Residential,,230,250,260
6,27,24,,,,,Residential,,450,450,450
6,27,25,,,,,Residential,,450,450,450
1,38,26,,,,,Residential,,,,
1,38,27,,,,,Residential,,,,
1,38,28,,,,,Residential,,,,
1,38,29,,,,,Residential,,,,
1,38,30,,,,,Residential,,,,
1,38,31,,,,,Residential,,,,
1,38,32,,,,,Residential,,,,
1,38,33,,,,,Residential,,,,
1,38,34,,,,,Residential,,,,
1,38,35,,,,,Residential,,,,
1,38,36,,,,,Residential,,,,
1,38,37,,,,,Residential,,,,
5,89,38,,,,,Residential,,100,130,160
5,89,39,,,,,Residential,,100,130,160
5,89,40,,,,,Residential,,100,130,160
5,89,41,,,,,Residential,,100,130,160
5,89,42,,,,,Residential,,100,130,160
5,89,43,,,,,Residential,,100,130,160
5,89,44,,,,,Residential,,100,130,160
5,89,45,,,,,Residential,,100,130,160
5,89,46,,,,,Residential,,100,130,160
5,89,47,,,,,Residential,,100,130,160
5,89,48,,,,,Residential,,100,130,160
8,91,49,,,,,Residential,,120,150,180
8,91,50,,,,,Residential,,120,150,180
8,91,51,,,,,Residential,,120,150,180
8,91,52,,,,,Residential,,120,150,180
8,91,53,,,,,Residential,,120,150,180
8,91,54,,,,,Residential,,120,150,180
8,91,55,,,,,Residential,,120,150,180
8,91,56,,,,,Residential,,120,150,180
4,60,,,,,,Residential,,40,40,40
7,135,,,,,,Residential,,25,25,25
9,136,,,,,,Residential,,25,25,25
3,137,,,,,,Residential,,25,25,25
5,138,,,,,,Residential,,70,70,70
7,139,,,,,,Residential,,23,23,23
10,140,,,,,,Residential,,25,25,25
4,42,,,,,,Residential,,80,80,80
10,141,,,,,,Residential,,25,25,25
5,142,,,,,,Residential,,25,25,25
5,118,,,,,,Residential,,70,70,70
3,143,,,,,,Residential,,25,25,25
7,144,,,,,,Residential,,25,25,25
10,145,,,,,,Residential,,25,25,25
6,146,,,,,,Residential,,25,25,25
5,147,,,,,,Residential,,50,50,50
5,148,,,,,,Residential,,30,30,30
9,19,,,,,,Residential,,30,30,30
9,149,,,,,,Residential,,25,25,25
9,150,,,,,,Residential,,25,25,25
4,151,,,,,,Residential,,20,20,20
4,152,,,,,,Residential,,25,25,25
5,153,,,,,,Residential,,25,25,25
5,154,,,,,,Residential,,25,25,25
3,155,,,,,,Residential,,30,30,30
5,156,,,,,,Residential,,25,25,25
6,27,,,,,,Residential,,,,
